image,question,raw_response,prediction,ground_truth,correct
COCO_train2014_000000090718.jpg,"From the perspective of the camera, Answer what orientation the bear in the picture is facing.",FRONT,FRONT,FACING LEFT WHILE FACING THE CAMERA,False
COCO_train2014_000000090718.jpg,"Is the bear facing 'front left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000090718.jpg,"Is the bear facing 'back right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000028260.jpg,"From the perspective of the camera, which orientation is the zebra in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,LEFT,False
COCO_train2014_000000028260.jpg,"From the perspective of the camera, Answer what orientation the zebra in the picture is facing.",RIGHT,RIGHT,FACING LEFT,False
COCO_train2014_000000028260.jpg,"Is the zebra facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000028260.jpg,"Is the zebra facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000302666.jpg,"From the perspective of the camera, which orientation is the cat in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,BACK LEFT,False
COCO_train2014_000000302666.jpg,"From the perspective of the camera, Answer what orientation the cat in the picture is facing.",FRONT,FRONT,TOWARD LEFT WHILE FACING AWAY THE CAMERA,False
COCO_train2014_000000302666.jpg,"Is the cat facing 'back left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_train2014_000000302666.jpg,"Is the cat facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000352088.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_train2014_000000352088.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_train2014_000000352088.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000352088.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_val2014_000000070353.jpg,"From the perspective of the camera, which orientation is the cat in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,LEFT,False
COCO_val2014_000000070353.jpg,"From the perspective of the camera, Answer what orientation the cat in the picture is facing.",FRONT,FRONT,FACING LEFT,False
COCO_val2014_000000070353.jpg,"Is the cat facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000070353.jpg,"Is the cat facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_val2014_000000387208.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_val2014_000000387208.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_val2014_000000387208.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000387208.jpg,"Is the person facing 'back left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000374166.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,LEFT,False
COCO_train2014_000000374166.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING LEFT,False
COCO_train2014_000000374166.jpg,"Is the person facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,YES,False
COCO_train2014_000000374166.jpg,"Is the person facing 'front left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000529905.jpg,"From the perspective of the camera, which orientation is the airplane in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C,C,LEFT,False
COCO_train2014_000000529905.jpg,"From the perspective of the camera, Answer what orientation the airplane in the picture is facing.",FORWARD,FORWARD,FACING LEFT,False
COCO_train2014_000000529905.jpg,"Is the airplane facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_train2014_000000529905.jpg,"Is the airplane facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_val2014_000000285961.jpg,"From the perspective of the camera, which orientation is the giraffe in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,LEFT,False
COCO_val2014_000000285961.jpg,"From the perspective of the camera, Answer what orientation the giraffe in the picture is facing.",FRONT,FRONT,FACING LEFT,False
COCO_val2014_000000285961.jpg,"Is the giraffe facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000285961.jpg,"Is the giraffe facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000524649.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,BACK RIGHT,False
COCO_train2014_000000524649.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,TOWARD RIGHT WHILE FACING AWAY THE CAMERA,False
COCO_train2014_000000524649.jpg,"Is the person facing 'back right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000524649.jpg,"Is the person facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_val2014_000000361027.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,BACK RIGHT,False
COCO_val2014_000000361027.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,TOWARD RIGHT WHILE FACING AWAY THE CAMERA,False
COCO_val2014_000000361027.jpg,"Is the person facing 'back right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_val2014_000000361027.jpg,"Is the person facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_val2014_000000292647.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C,C,BACK LEFT,False
COCO_val2014_000000292647.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,TOWARD LEFT WHILE FACING AWAY THE CAMERA,False
COCO_val2014_000000292647.jpg,"Is the person facing 'back left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_val2014_000000292647.jpg,"Is the person facing 'front left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000353223.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT RIGHT,False
COCO_train2014_000000353223.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_train2014_000000353223.jpg,"Is the person facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000353223.jpg,"Is the person facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000356116.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C,C,FRONT,False
COCO_train2014_000000356116.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_train2014_000000356116.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000356116.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000155930.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,FRONT RIGHT,False
COCO_train2014_000000155930.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_train2014_000000155930.jpg,"Is the person facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000155930.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000315028.jpg,"From the perspective of the camera, which orientation is the giraffe in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,LEFT,False
COCO_train2014_000000315028.jpg,"From the perspective of the camera, Answer what orientation the giraffe in the picture is facing.",FRONT,FRONT,FACING LEFT,False
COCO_train2014_000000315028.jpg,"Is the giraffe facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000315028.jpg,"Is the giraffe facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_val2014_000000496379.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,LEFT,False
COCO_val2014_000000496379.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING LEFT,False
COCO_val2014_000000496379.jpg,"Is the person facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,YES,False
COCO_val2014_000000496379.jpg,"Is the person facing 'back left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000513093.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_train2014_000000513093.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_train2014_000000513093.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000513093.jpg,"Is the person facing 'back left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000489442.jpg,"From the perspective of the camera, which orientation is the giraffe in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,LEFT,False
COCO_train2014_000000489442.jpg,"From the perspective of the camera, Answer what orientation the giraffe in the picture is facing.",FRONT,FRONT,FACING LEFT,False
COCO_train2014_000000489442.jpg,"Is the giraffe facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_train2014_000000489442.jpg,"Is the giraffe facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000557314.jpg,"From the perspective of the camera, which orientation is the cow in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,RIGHT,True
COCO_train2014_000000557314.jpg,"From the perspective of the camera, Answer what orientation the cow in the picture is facing.",RIGHT,RIGHT,FACING RIGHT,False
COCO_train2014_000000557314.jpg,"Is the cow facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000557314.jpg,"Is the cow facing 'back right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000038055.jpg,"From the perspective of the camera, which orientation is the bird in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,RIGHT,False
COCO_train2014_000000038055.jpg,"From the perspective of the camera, Answer what orientation the bird in the picture is facing.",FRONT,FRONT,FACING RIGHT,False
COCO_train2014_000000038055.jpg,"Is the bird facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000038055.jpg,"Is the bird facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_val2014_000000496239.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT RIGHT,False
COCO_val2014_000000496239.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_val2014_000000496239.jpg,"Is the person facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_val2014_000000496239.jpg,"Is the person facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000299357.jpg,"From the perspective of the camera, which orientation is the bear in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,RIGHT,False
COCO_train2014_000000299357.jpg,"From the perspective of the camera, Answer what orientation the bear in the picture is facing.",FRONT,FRONT,FACING RIGHT,False
COCO_train2014_000000299357.jpg,"Is the bear facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000299357.jpg,"Is the bear facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000466852.jpg,"From the perspective of the camera, which orientation is the elephant in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C,C,FRONT RIGHT,False
COCO_train2014_000000466852.jpg,"From the perspective of the camera, Answer what orientation the elephant in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_train2014_000000466852.jpg,"Is the elephant facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000466852.jpg,"Is the elephant facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000576792.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT RIGHT,False
COCO_train2014_000000576792.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_train2014_000000576792.jpg,"Is the person facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000576792.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_val2014_000000263520.jpg,"From the perspective of the camera, which orientation is the giraffe in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,RIGHT,False
COCO_val2014_000000263520.jpg,"From the perspective of the camera, Answer what orientation the giraffe in the picture is facing.",FRONT,FRONT,FACING RIGHT,False
COCO_val2014_000000263520.jpg,"Is the giraffe facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000263520.jpg,"Is the giraffe facing 'back left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000483142.jpg,"From the perspective of the camera, which orientation is the giraffe in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT RIGHT,False
COCO_train2014_000000483142.jpg,"From the perspective of the camera, Answer what orientation the giraffe in the picture is facing.",FRONTAL,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_train2014_000000483142.jpg,"Is the giraffe facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_train2014_000000483142.jpg,"Is the giraffe facing 'back' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000444801.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C,C,RIGHT,False
COCO_train2014_000000444801.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",BACKWARDS,BACK,FACING RIGHT,False
COCO_train2014_000000444801.jpg,"Is the person facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000444801.jpg,"Is the person facing 'front left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_val2014_000000264423.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",D,D,BACK,False
COCO_val2014_000000264423.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",BACKWARDS,BACK,FACING AWAY THE CAMERA,False
COCO_val2014_000000264423.jpg,"Is the person facing 'back' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000264423.jpg,"Is the person facing 'back left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000398175.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT RIGHT,False
COCO_train2014_000000398175.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
